Name,County,State
Allen Sisson,Fannin,Georgia
Alva Green,Elliott,Kentucky
Ambrose Stuart ,Hamblen,Tennessee
Andrew Baxter,Gordon,Georgia
Armin Barnett,Albemarle ,Virginia
Ben Jarrell,Surry,North Carolina
Bill Helms,Upson,Georgia
Bill Hensley,Madison,North Carolina
Bill Shelor,Patrick,Virginia
Billy Altizer,Roanoke,Virginia
Blaine Smith,Hamilton,Tennessee
Bob Walters,Burt,Nebraska
Bruce Greene,Yancey,North Carolina
Bunt Stephens,Moore,Tennessee
Burl Hammons,Pocahontas,West Virginia
Charlie Bowman,Washington,Tennessee
Charlie Higgins,Grayson,Virginia
Charlie Melvin Stripling,Lamar,Alabama
Charlie Osborne,Russell,Virginia
Clarence Cobb,Hopkins,Kentucky
Clayton McMichen,Fulton,Georgia
Clyde Davenport,Wayne,Kentucky
Coley Jones ,Dallas,Texas
Cowan Powers,Scott,Virginia
Cush Holden,Levy,Florida
Cyrus Futrell,Cross,Arkansas
Dewey Hamrick,Clay,West Virginia
Dr. D.D. Hollis ,Lamar,Alabama
Dudley Vance ,Washington,Tennessee
Earl Johnson,Gwinnett,Georgia
Eck Dunford,Carroll,Virginia
Ed Haley,Rowan,Kentucky
Ed Morrison,Boyd,Kentucky
Ed Taylor,Dickenson,Virginia
Edden Hammons,Pocahontas,West Virginia
Emmett Lundy,Grayson,Virginia
Emory Bailey,Calhoun,West Virginia
Emory Mills,Whitley,Kentucky
Ernest Stanley,Carroll,Virginia
Ernie Carpenter,Braxton,West Virginia
Esker Hutchins,Surry,North Carolina
Estill Bingham,Bell,Kentucky
Floyd Ethridge,Rutherford,Tennessee
"Frank ""Dad"" Williams",Avery,North Carolina
Frank Weems,Perry,Tennessee
Franklin George,Mercer,West Virginia
Fred Cockerham,Surry,North Carolina
French Carpenter,Clay,West Virginia
Fulton Myers,Carroll,Virginia
G.B. Grayson,Johnson,Tennessee
Glen Smith,Carroll,Virginia
Grey Craig,Henry,Virginia
Guy Brooks,Alleghany,North Carolina
Harold Hausenfluck,Chesterfield,Virginia
Henry Reed,Giles,Virginia
Hick Edmonds,Smyth,Virginia
Hiter Colvin,Lincoln,Louisiana
Howard Wyatt,Washington,Virginia
"Issac ""Ike"" Reaves",White,Arkansas
Ivan Weddle,Floyd,Virginia
J.D. Harris,Buncombe,North Carolina
J.E. Mainer,Cabarrus,North Carolina
"J.W. ""Babe"" Spangler",Patrick,Virginia
J.W. Day,Rowan,Kentucky
Jack Pierce,Smyth,Virginia
James Brown,Muhlenberg,Kentucky
James Chisholm,Albemarle ,Virginia
James Hammons,Pocahontas,West Virginia
James McCarroll,Roane,Tennessee
Jesse Shelor,Patrick,Virginia
Jim Booker,Jessamine,Kentucky
Jimmy Driftwood,Washington,Arkansas
Joe Birchfield,Carter,Tennessee
John Ashby,Fauquier,Virginia
John Carson,Fulton,Georgia
John Dykes,Scott,Virginia
John Johnson,Braxton,West Virginia
John Lewis,Stokes,North Carolina
John Salyer,Magoffin,Kentucky
John Summers,Howard,Indiana
"John W. ""Peg"" Hatcher",Tishomingo,Mississippi
Leonard Rutherford,Wayne,Kentucky
Lonnie Corsbie,Guilford,North Carolina
Lowe Stokes,Fulton,Georgia
Luther Strong,Perry,Kentucky
Manco Sneed,Cherokee,North Carolina
Marcus Martin,Buncombe,North Carolina
Mark Campbell,Chesterfield,Virginia
Melvin Wine,Braxton,West Virginia
Mose Coffman,Greenbrier,West Virginia
N.H. Mills,Franklin,Virginia
Norman Edmonds,Carroll,Virginia
Oscar Harper,Terrell,Texas
Oscar Stone,Sumner,Tennessee
Oscar Wright,Mercer,West Virginia
Osey Helton,Buncombe,North Carolina
"Owen ""Snake"" Chapman",Pike,Kentucky
Posey Rorer,Rockingham,North Carolina
Pug Allen,Augusta,Virginia
Roy “Speedy” Tolliver,Arlington,Virginia
Sam Conner,Floyd,Virginia
Sam McNeils,Floyd,Virginia
Samuel Peacock,Navarro,Texas
Samuel Warren Caplinger,Wood,West Virginia
Sid Harkreader,Wilson,Tennessee
Stuart Lundy,Grayson,Virginia
Taylor Kimble,Carroll,Virginia
Ted Gossett,Muhlenberg,Kentucky
Theron Hale,Davidson,Tennessee
Tommy Jarrell,Surry,North Carolina
Various,Various,Ireland
W.H. Stepp,Magoffin,Kentucky
William Gilmer,Leake,Mississippi
William Thomas Narmour,Carroll,Mississippi
Y.Z. “Wyzee” Hamilton,Clay,Alabama
Warner Carver,Barren,Kentucky
