,Rank,Name,Count,County,State,LAT_jittered,LONG_jittered
0,1,Ed Haley,25,Rowan,Kentucky,38.2508840208362,-83.4764947446749
1,2,Marcus Martin,25,Buncombe,North Carolina,35.6907438058687,-82.4426540652825
2,3,Emmett Lundy,22,Grayson,Virginia,36.6970223799653,-81.2560951995594
3,4,Norman Edmonds,19,Carroll,Virginia,36.6674902508982,-80.6720608215648
4,5,Mark Campbell,17,Chesterfield,Virginia,37.4601604538538,-77.645782826607
5,6,Clayton McMichen,14,Fulton,Georgia,34.0214617319192,-84.3502851518962
6,7,Cowan Powers,13,Scott,Virginia,36.7470567274186,-82.661608917902
7,8,Melvin Wine,13,Braxton,West Virginia,38.7775158240563,-80.7499389151061
8,9,Edden Hammons,12,Pocahontas,West Virginia,38.3565759359983,-80.0343416200698
9,10,French Carpenter,12,Clay,West Virginia,38.4745592602488,-81.0132127451409
10,11,Manco Sneed,12,Cherokee,North Carolina,35.0719131889421,-84.026725954485
12,13,Burl Hammons,11,Pocahontas,West Virginia,38.3389110734103,-80.0034267552778
13,14,J.W. Day,11,Rowan,Kentucky,38.1327590622143,-83.3317992436241
14,15,Henry Reed,10,Giles,Virginia,37.2930198833143,-80.7154110743454
15,16,Tommy Jarrell,10,Surry,North Carolina,36.4677622884438,-80.6902668002955
16,17,John Ashby,9,Fauquier,Virginia,38.7105050943123,-77.7425346675196
17,18,Eck Dunford,8,Carroll,Virginia,36.7459654334876,-80.8216321462066
18,19,N.H. Mills,8,Franklin,Virginia,37.126526445995,-79.8713538146942
19,20,Taylor Kimble,8,Carroll,Virginia,36.8037291641717,-80.8325975823912
20,21,W.H. Stepp,6,Magoffin,Kentucky,37.6517895519818,-83.0586938431524
21,22,Charlie Higgins,5,Grayson,Virginia,36.7225871581305,-81.2344546612414
22,23,Charlie Melvin Stripling,5,Lamar,Alabama,33.6705049766663,-88.0290467948145
23,24,Fulton Myers,5,Carroll,Virginia,36.6486607749934,-80.7241609272591
24,25,G.B. Grayson,5,Johnson,Tennessee,36.4077520636687,-81.8701789925943
25,26,Ben Jarrell,4,Surry,North Carolina,36.4758727239251,-80.6550646294502
26,27,Bill Shelor,4,Patrick,Virginia,36.6378936922454,-80.2451464941806
27,28,Charlie Bowman,4,Washington,Tennessee,36.1789480622033,-82.4563193705614
28,29,"J.W. ""Babe"" Spangler",4,Patrick,Virginia,36.6435044013242,-80.3527644936654
29,30,John Dykes,4,Scott,Virginia,36.6572861848186,-82.6715683337817
30,31,John Salyer,4,Magoffin,Kentucky,37.7554886564003,-83.1093302843498
31,32,Leonard Rutherford,4,Wayne,Kentucky,36.6929557983563,-84.7477665528578
32,33,Luther Strong,4,Perry,Kentucky,37.2223199613446,-83.243179953259
33,34,Posey Rorer,4,Rockingham,North Carolina,36.4270468988192,-79.6965559456808
34,35,Allen Sisson,3,Fannin,Georgia,34.9259583979857,-84.3212411690664
35,36,Armin Barnett,3,Albemarle,Virginia,38.0355045731958,-78.6761733963866
36,37,Bunt Stephens,3,Moore,Tennessee,35.2986785208032,-86.3340459136652
37,38,Clyde Davenport,3,Wayne,Kentucky,36.812181216561,-84.8662104491589
38,39,Dr. D.D. Hollis ,3,Lamar,Alabama,33.728719695595,-88.0193130901048
39,40,Emory Bailey,3,Calhoun,West Virginia,38.8731890125859,-81.1125248583088
40,41,Ernest Stanley,3,Carroll,Virginia,36.8031154204936,-80.7392306297667
41,42,Floyd Ethridge,3,Rutherford,Tennessee,35.7972753009484,-86.3667568782368
42,43,Frank Weems,3,Perry,Tennessee,35.6666732860156,-87.8074432713847
43,44,J.D. Harris,3,Buncombe,North Carolina,35.5942882375623,-82.6125197358053
44,45,James Chisholm,3,Albemarle,Virginia,37.9345074306385,-78.6447798869398
45,46,Oscar Stone,3,Sumner,Tennessee,36.4493918228467,-86.3943377780452
46,47,Sid Harkreader,3,Wilson,Tennessee,36.152187570259,-86.345404443477
47,48,Stuart Lundy,3,Grayson,Virginia,36.7213350034753,-81.2986320529281
48,49,Ambrose Stuart ,2,Hamblen,Tennessee,36.1395265056984,-83.2937655540092
49,50,Bob Walters,2,Burt,Nebraska,41.8857688173947,-96.399757481135
50,51,Estill Bingham,2,Bell,Kentucky,36.7937196773753,-83.6176206257716
51,52,Frank “Dad” Williams,2,Avery,North Carolina,36.0646219003318,-81.9728068147406
52,53,Franklin George,2,Mercer,West Virginia,37.4945092265126,-81.0300517230561
53,54,Fred Cockerham,2,Surry,North Carolina,36.4816639456246,-80.6124539031918
54,55,Howard Wyatt,2,Washington,Virginia,36.8270583107654,-81.8744460790989
55,56,Joe Birchfield,2,Carter,Tennessee,36.2271167046174,-82.2092734809457
56,57,John Carson,2,Fulton,Georgia,34.1243470626245,-84.374384120831
57,58,"John W. ""Peg"" Hatcher",2,Tishomingo,Mississippi,34.7658866085902,-88.2166552891338
58,59,Osey Helton,2,Buncombe,North Carolina,35.615462021211,-82.4616736436967
59,60,"Owen ""Snake"" Chapman",2,Pike,Kentucky,37.4189440312286,-82.3394134665952
60,61,Pug Allen,2,Augusta,Virginia,38.2654030501248,-79.1263636376995
61,62,Sam Conner,2,Floyd,Virginia,36.8757317171828,-80.3464544205737
62,63,Theron Hale,2,Davidson,Tennessee,36.2191251368263,-86.8015524327773
63,64,Alva Green,1,Elliott,Kentucky,38.1366358474701,-83.0588555271702
64,65,Andrew Baxter,1,Gordon,Georgia,34.5566671663168,-84.9500155013767
65,66,Bill Helms,1,Upson,Georgia,32.7754095857745,-84.204996664639
66,67,Bill Hensley,1,Madison,North Carolina,35.8897204562865,-82.7125813931141
67,68,Billy Altizer,1,Floyd,Virginia,36.9219869584006,-80.3239027952348
68,69,Blaine Smith,1,Hamilton,Tennessee,35.0979179577879,-85.1589826352759
69,70,Bruce Greene,1,Yancey,North Carolina,35.8454108586419,-82.3754514298181
70,71,Charlie Osborne,1,Russell,Virginia,36.9675496678584,-82.0650862204725
71,72,Clarence Cobb,1,Hopkins,Kentucky,37.2427275007881,-87.5190091835562
72,73,Cush Holden,1,Levy,Florida,29.282720174636,-82.861604099825
73,74,Cyrus Futrell,1,Cross,Arkansas,35.2625846397666,-90.7633291568622
74,75,Dewey Hamrick,1,Clay,West Virginia,38.426741067051,-81.0865235532577
75,76,Dudley Vance ,1,Washington,Tennessee,36.1966379656088,-82.5168474611316
76,77,Earl Johnson,1,Gwinnett,Georgia,33.8668444444778,-84.0516522252265
77,78,Ed Morrison,1,Boyd,Kentucky,38.4431287710773,-82.677987216134
78,79,Ed Taylor,1,Dickenson,Virginia,37.0734029873356,-82.4048514396114
79,80,Emory Mills,1,Whitley,Kentucky,36.7784604020363,-84.0921553285226
80,81,Ernie Carpenter,1,Braxton,West Virginia,38.707470786415,-80.7155562007572
81,82,Esker Hutchins,1,Surry,North Carolina,36.361258919428,-80.7000218065745
82,83,Grey Craig,1,Henry,Virginia,36.7161833290476,-79.9340333437373
83,84,Guy Brooks,1,Alleghany,North Carolina,36.4830719401208,-81.0974478966539
84,85,Harold Hausenfluck,1,Chesterfield,Virginia,37.3122803571862,-77.6059417660118
85,86,Hick Edmonds,1,Smyth,Virginia,36.8792432806832,-81.5629298700604
86,87,Hiter Colvin,1,Lincoln,Louisiana,32.6707945300588,-92.7644419569997
87,88,"Issac ""Ike"" Reaves",1,White,Arkansas,35.2305158912954,-91.7932574859255
88,89,Ivan Weddle,1,Floyd,Virginia,36.9489254363783,-80.4664635925083
89,90,J.E. Mainer,1,Cabarrus,North Carolina,35.448143271218,-80.5111202147683
90,91,Jack Pierce,1,Smyth,Virginia,36.8540338779628,-81.5381492957618
91,92,James Brown,1,Muhlenberg,Kentucky,37.1726999763631,-87.1115053686981
92,93,James McCarroll,1,Roane,Tennessee,35.9063200232283,-84.5436032776073
93,94,Jesse Shelor,1,Patrick,Virginia,36.7527223856704,-80.2553516239927
94,95,Jim Booker,1,Jessamine,Kentucky,37.899125373794,-84.6321210249344
95,96,Jimmy Driftwood,1,Washington,Arkansas,35.9718448884368,-94.2216730999537
96,97,John Johnson,1,Braxton,West Virginia,38.7252205083132,-80.6162197800068
97,98,John Lewis,1,Stokes,North Carolina,36.4397372777782,-80.2748614283905
98,99,John Summers,1,Howard,Indiana,40.4092428485578,-86.2094646282285
99,100,Lonnie Corsbie,1,Guilford ,North Carolina,36.0036090546545,-79.8410723404236
100,101,Lowe Stokes,1,Fulton,Georgia,34.1281541703948,-84.271575695123
101,102,Mose Coffman,1,Greenbrier,West Virginia,37.9529055624578,-80.4669017796034
102,103,Oscar Harper,1,Terrell,Texas,30.2071762534663,-102.089511515878
103,104,Oscar Wright,1,Mercer,West Virginia,37.3402689045734,-81.0328268289029
104,105,Roy “Speedy” Tolliver,1,Arlington,Virginia,38.8717381788778,-77.1193837748797
105,106,Sam McNeils,1,Floyd,Virginia,36.8389201551713,-80.4492067191423
106,107,Samuel Peacock,1,Navarro,Texas,32.0553447339212,-96.5651429537297
107,108,Ted Gossett,1,Muhlenberg,Kentucky,37.2264896846855,-87.1674036841479
108,109,Samuel Warren Caplinger ,1,Wood,West Virginia,39.2806866360861,-81.551994305022
109,110,Wil Gilmer,1,Scott,Mississippi,32.4500188351009,-89.5056422711301
110,111,William Thomas Narmour,1,Carroll,Mississippi,33.3488009182451,-89.9395939353274
111,112,Y.Z. “Wyzee” Hamilton,1,Clay,Alabama,33.272870379219,-85.8431833237492
